Date/Time, Time Diff, Byte Counter, Byte Diff Counter, Packet Counter, Header Info, 
2024-04-08 23:32:17.737633, 0:00:00.000007, 16094, 8, 243, MASTER_2, 
2024-04-08 23:32:17.737640, 0:00:00.000008, 16283, 189, 244, SLAVE_2, 
2024-04-08 23:32:17.737647, 0:00:00.000007, 16291, 8, 245, MASTER_1, 
2024-04-08 23:32:17.737655, 0:00:00.000007, 16356, 65, 246, SLAVE_1, 
2024-04-08 23:32:17.737662, 0:00:00.000008, 16364, 8, 247, MASTER_2, 
2024-04-08 23:32:17.737859, 0:00:00.000202, 16553, 189, 248, SLAVE_2, 
2024-04-08 23:32:17.737877, 0:00:00.000012, 16561, 8, 249, MASTER_1, 
2024-04-08 23:32:17.737886, 0:00:00.000009, 16626, 65, 250, SLAVE_1, 
2024-04-08 23:32:17.737895, 0:00:00.000010, 16634, 8, 251, MASTER_2, 
2024-04-08 23:32:17.737906, 0:00:00.000012, 16823, 189, 252, SLAVE_2, 
2024-04-08 23:32:17.737917, 0:00:00.000011, 16831, 8, 253, MASTER_1, 
2024-04-08 23:32:17.737928, 0:00:00.000011, 16896, 65, 254, SLAVE_1, 
2024-04-08 23:32:17.737940, 0:00:00.000012, 16904, 8, 255, MASTER_2, 
2024-04-08 23:32:17.737951, 0:00:00.000010, 17093, 189, 256, SLAVE_2, 
2024-04-08 23:32:17.737959, 0:00:00.000007, 17101, 8, 257, MASTER_1, 
2024-04-08 23:32:17.737966, 0:00:00.000008, 17166, 65, 258, SLAVE_1, 
2024-04-08 23:32:17.737974, 0:00:00.000007, 17174, 8, 259, MASTER_2, 
2024-04-08 23:32:17.737981, 0:00:00.000008, 17363, 189, 260, SLAVE_2, 
2024-04-08 23:32:17.737988, 0:00:00.000007, 17371, 8, 261, MASTER_1, 
2024-04-08 23:32:17.737996, 0:00:00.000007, 17436, 65, 262, SLAVE_1, 
2024-04-08 23:32:17.738003, 0:00:00.000008, 17444, 8, 263, MASTER_2, 
2024-04-08 23:32:17.738011, 0:00:00.000007, 17633, 189, 264, SLAVE_2, 
2024-04-08 23:32:17.738018, 0:00:00.000007, 17641, 8, 265, MASTER_1, 
